id_daftar_sekolah,sekolah_asal,tipe_sekolah_asal,kodepos_sekolah,jenis_sekolah,is_deleted,tanggal_input,tanggal_update,id_lokasi
708,SMA NEGERI 1 TANAH GROGOT,NEGERI,76251,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,337
709,SMA K 1 KALABAHI,SWASTA,85819,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,275
710,SMK NEGERI 5 YOGYAKARTA,NEGERI,55165,SMK,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,215
711,SMK NEGERI 1 PANGKALAN BUN,NEGERI,74111,SMK,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,310
712,SMK NEGERI 3 KASIHAN,NEGERI,55184,SMK,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,214
713,SMA NEGERI 1 SINDANG,NEGERI,45221,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,167
714,SMK NEGERI 3 TANJUNG PINANG,NEGERI,29122,SMK,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,152
715,SMA NEGERI 1 JAWAI,NEGERI,79454,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,303
716,SMA NEGERI 1 LAMANDAU,NEGERI,74663,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,314
717,SMA HANGTUAH PROKIMAL,SWASTA,34554,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,126
718,SMK INFORMATIKA KOMPUTER MAHARDIKA MAKASSAR,SWASTA,90242,SMK,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,395
719,SMA NEGERI 1 PULAU-PULAU ARU,NEGERI,97662,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,440
720,SMA NEGERI 3 AMBON,NEGERI,97234,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,437
721,SMA NEGERI 3 MANADO,NEGERI,95238,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,359
722,SMK BUDHI WARWAN 2,SWASTA,13790,SMK,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,157
723,SMA NEGERI 1 KALIWUNGU,NEGERI,51372,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,210
724,SMA NEGERI 1 HALMAHERA UTARA,NEGERI,97762,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,451
